removed_from,removed_gene,outcome,beta,se,ci_low,ci_high,p,n,patients
gly,TGFA,Hypoxia,0.6445260078825148,0.10343140157519615,0.44180418592463094,0.8472478298403987,4.621831285044449e-10,136,20
gly,TPST1,Inflamm,0.3500685840214841,0.12317346912222878,0.10865302069105928,0.5914841473519089,0.004482055034583202,136,20
gly,TPST1,Hypoxia,0.6314218059576941,0.10189777258920568,0.4317058415779983,0.83113777033739,5.768844192765985e-10,136,20
gly,TXN,Inflamm,0.3581150701783019,0.11775732774169223,0.12731494888890577,0.588915191467698,0.0023569385229629206,136,20
gly,TXN,Hypoxia,0.6169481453336787,0.09968512004431093,0.42156890025227745,0.81232739041508,6.055888374096544e-10,136,20
gly,VCAN,Inflamm,0.3667573557040442,0.11778509331989888,0.1359028148813531,0.5976118965267353,0.0018470456604847197,136,20
gly,VCAN,Hypoxia,0.6557186072488379,0.10186841550526866,0.4560601816963497,0.8553770328013262,1.2192399467281294e-10,136,20
gly,XYLT2,Inflamm,0.38384798456262303,0.11203555345834969,0.16426233479624575,0.6034336343290003,0.0006122550457763217,136,20
gly,XYLT2,Hypoxia,0.6521768871239818,0.09664191578282427,0.46276221279269325,0.8415915614552704,1.4949947825562146e-11,136,20
ox,ABCB7,Inflamm,0.3707924913610837,0.1167182435051955,0.14202893775212447,0.599556044970043,0.0014890099925103056,136,20
ox,ABCB7,Hypoxia,0.6428255610480109,0.1011162214587518,0.4446414087360812,0.8410097133599406,2.0533859005547695e-10,136,20
ox,ACAA1,Inflamm,0.3756628365738486,0.11682441196053393,0.14669119661613175,0.6046344765315654,0.0013016336927268552,136,20
ox,ACAA1,Hypoxia,0.6497195280382853,0.10094384446239126,0.45187322843098543,0.8475658276455851,1.2230392377450387e-10,136,20
ox,ACAA2,Inflamm,0.3760256935038432,0.11544479019889954,0.14975806251121745,0.6022933244964689,0.0011252082309496057,136,20
